丛	0.00	0.000	0.000	0.000	0.000	0.000
令	29.07	0.152	0.152	0.042	0.052	0.052
用	0.00	0.000	0.000	0.000	0.000	0.000
甩	4.08	0.040	0.000	0.000	0.000	0.000
印	5.85	0.019	0.019	0.028	0.006	0.006
尔	0.00	0.000	0.000	0.000	0.000	0.000
乐	0.00	0.000	0.000	0.000	0.000	0.000
句	0.00	0.000	0.000	0.000	0.000	0.000
匆	0.00	0.000	0.000	0.000	0.000	0.000
册	0.00	0.000	0.000	0.000	0.000	0.000
卯	4.07	0.033	0.033	0.000	0.000	0.000
犯	0.00	0.000	0.000	0.000	0.000	0.000
外	24.82	0.189	0.189	0.012	0.002	0.002
处	0.00	0.000	0.000	0.000	0.000	0.000
冬	19.68	0.083	0.165	0.000	0.000	0.000
鸟	0.00	0.000	0.000	0.000	0.000	0.000
务	0.00	0.000	0.000	0.000	0.000	0.000
包	10.96	0.107	0.000	0.000	0.000	0.000
饥	0.00	0.000	0.000	0.000	0.000	0.000
主	0.00	0.000	0.000	0.000	0.000	0.000
市	4.88	0.039	0.039	0.000	0.000	0.000
立	6.78	0.054	0.054	0.000	0.000	0.000
冯	0.00	0.000	0.000	0.000	0.000	0.000
玄	17.26	0.138	0.138	0.000	0.000	0.000
闪	0.00	0.000	0.000	0.000	0.000	0.000
兰	0.00	0.000	0.000	0.000	0.000	0.000
半	12.53	0.000	0.123	0.000	0.000	0.000
汁	0.00	0.000	0.000	0.000	0.000	0.000
汇	0.00	0.000	0.000	0.000	0.000	0.000
头	0.00	0.000	0.000	0.000	0.000	0.000
汉	0.00	0.000	0.000	0.000	0.000	0.000
宁	11.93	0.096	0.096	0.000	0.000	0.000
穴	18.14	0.018	0.069	0.066	0.053	0.066
它	4.65	0.037	0.037	0.000	0.000	0.000
讨	0.00	0.000	0.000	0.000	0.000	0.000
写	11.76	0.094	0.094	0.000	0.000	0.000
让	0.00	0.000	0.000	0.000	0.000	0.000
礼	10.31	0.083	0.083	0.000	0.000	0.000
训	0.00	0.000	0.000	0.000	0.000	0.000
议	0.00	0.000	0.000	0.000	0.000	0.000
必	0.00	0.000	0.000	0.000	0.000	0.000
讯	0.00	0.000	0.000	0.000	0.000	0.000
记	0.00	0.000	0.000	0.000	0.000	0.000
永	0.00	0.000	0.000	0.000	0.000	0.000
司	0.00	0.000	0.000	0.000	0.000	0.000
尼	10.18	0.000	0.000	0.000	0.100	0.000
民	20.66	0.165	0.165	0.000	0.000	0.000
弗	4.62	0.037	0.037	0.000	0.000	0.000
弘	15.67	0.125	0.125	0.000	0.000	0.000
出	2.15	0.017	0.017	0.000	0.000	0.000
辽	0.00	0.000	0.000	0.000	0.000	0.000
奶	26.65	0.148	0.148	0.011	0.061	0.061
奴	12.62	0.059	0.059	0.012	0.036	0.036
召	0.00	0.000	0.000	0.000	0.000	0.000
加	0.00	0.000	0.000	0.000	0.000	0.000
皮	0.00	0.000	0.000	0.000	0.000	0.000
边	12.06	0.000	0.000	0.000	0.097	0.097
孕	1.33	0.011	0.011	0.000	0.000	0.000
发	0.00	0.000	0.000	0.000	0.000	0.000
圣	16.57	0.133	0.133	0.000	0.000	0.000
对	0.00	0.000	0.000	0.000	0.000	0.000
台	9.03	0.072	0.072	0.000	0.000	0.000
矛	0.00	0.000	0.000	0.000	0.000	0.000
纠	0.00	0.000	0.000	0.000	0.000	0.000
母	1.95	0.016	0.016	0.000	0.000	0.000
幼	16.06	0.129	0.129	0.000	0.000	0.000
丝	0.00	0.000	0.000	0.000	0.000	0.000
邦	2.60	0.021	0.000	0.021	0.000	0.000
式	0.00	0.000	0.000	0.000	0.000	0.000
迂	17.82	0.033	0.033	0.069	0.058	0.058
刑	0.00	0.000	0.000	0.000	0.000	0.000
